iter	Passed	Remaining
0	0	94
1	1	87
2	2	81
3	3	76
4	3	75
5	4	73
6	5	72
7	6	71
8	6	70
9	7	69
10	8	68
11	9	67
12	9	66
13	10	65
14	11	65
15	12	64
16	13	63
17	13	62
18	14	61
19	15	61
20	16	60
21	16	60
22	17	59
23	18	59
24	19	58
25	20	58
26	21	58
27	22	57
28	23	56
29	23	55
30	24	55
31	25	54
32	26	53
33	27	53
34	28	52
35	29	52
36	30	52
37	34	56
38	35	56
39	36	55
40	37	53
41	37	52
42	38	51
43	39	50
44	40	48
45	40	47
46	41	46
47	42	45
48	43	44
49	43	43
50	44	42
51	45	41
52	46	40
53	47	40
54	47	38
55	48	38
56	49	37
57	50	36
58	50	35
59	51	34
60	52	33
61	53	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	27
68	58	26
69	58	25
70	59	24
71	60	23
72	61	22
73	61	21
74	62	20
75	63	20
76	64	19
77	64	18
78	65	17
79	66	16
80	66	15
81	67	14
82	68	14
83	69	13
84	69	12
85	70	11
86	71	10
87	72	9
88	72	8
89	73	8
90	74	7
91	74	6
92	75	5
93	76	4
94	77	4
95	77	3
96	78	2
97	79	1
98	79	0
99	80	0
