iter	Passed	Remaining
0	0	857
1	1	816
2	2	782
3	3	766
4	3	771
5	4	749
6	5	740
7	5	727
8	6	719
9	7	741
10	8	738
11	8	739
12	9	728
13	10	726
14	10	719
15	11	717
16	12	713
17	12	708
18	13	719
19	14	717
20	15	712
21	15	707
22	16	706
23	17	710
24	18	705
25	18	700
26	19	696
27	20	698
28	20	698
29	21	697
30	22	696
31	22	693
32	23	689
33	24	687
34	24	684
35	25	681
36	26	682
37	26	681
38	27	678
39	28	676
40	28	674
41	29	672
42	30	670
43	30	667
44	31	665
45	31	663
46	32	662
47	33	661
48	34	660
49	34	659
50	35	657
51	35	655
52	36	653
53	37	651
54	37	650
55	38	649
56	39	649
57	39	648
58	40	646
59	41	644
60	41	642
61	42	640
62	43	640
63	43	639
64	44	638
65	45	639
66	45	638
67	46	637
68	47	637
69	47	635
70	48	634
71	49	634
72	49	633
73	50	632
74	51	631
75	51	631
76	52	629
77	53	627
78	53	625
79	54	624
80	54	622
81	55	621
82	55	617
83	56	616
84	57	615
85	57	614
86	58	613
87	59	611
88	59	610
89	60	611
90	61	611
91	61	609
92	62	609
93	63	611
94	64	610
95	64	610
96	65	610
97	66	609
98	66	609
99	67	609
100	68	608
101	69	607
102	69	606
103	70	607
104	71	607
105	72	607
106	72	607
107	73	606
108	74	606
109	74	605
110	75	604
111	76	603
112	76	604
113	77	604
114	78	604
115	79	605
116	80	604
117	80	604
118	81	603
119	82	601
120	82	600
121	84	605
122	84	605
123	85	604
124	86	603
125	86	602
126	87	600
127	87	599
128	88	598
129	89	597
130	90	597
131	90	596
132	91	595
133	91	593
134	92	592
135	93	591
136	93	589
137	94	588
138	94	588
139	95	587
140	96	587
141	96	585
142	97	584
143	98	583
144	98	583
145	99	582
146	100	581
147	100	579
148	101	578
149	101	577
150	102	577
151	103	576
152	103	575
153	104	574
154	105	573
155	106	573
156	107	575
157	107	574
158	108	574
159	109	574
160	109	572
161	110	573
162	111	573
163	112	573
164	113	572
165	114	574
166	115	573
167	115	573
168	116	572
169	117	573
170	118	573
171	118	572
172	119	571
173	120	570
174	121	571
175	122	572
176	123	571
177	123	571
178	124	570
179	125	569
180	125	568
181	126	567
182	126	566
183	127	566
184	128	566
185	129	565
186	129	564
187	130	563
188	131	562
189	131	561
190	132	560
191	132	559
192	133	558
193	134	558
194	135	557
195	135	556
196	136	556
197	137	555
198	137	555
199	138	554
200	139	553
201	140	553
202	140	552
203	141	552
204	142	551
205	142	550
206	143	549
207	144	549
208	144	548
209	145	547
210	146	547
211	147	546
212	147	545
213	148	545
214	149	546
215	150	545
216	150	544
217	151	544
218	152	543
219	153	542
220	153	541
221	154	541
222	155	540
223	155	539
224	156	538
225	157	537
226	157	536
227	158	536
228	158	535
229	159	534
230	160	533
231	161	533
232	161	532
233	162	531
234	163	530
235	163	530
236	164	530
237	165	529
238	166	528
239	166	527
240	167	526
241	168	526
242	168	525
243	169	524
244	169	523
245	170	522
246	171	522
247	172	522
248	173	521
249	174	522
250	175	522
251	175	522
252	176	521
253	177	520
254	178	520
255	178	519
256	179	518
257	180	517
258	180	517
259	181	516
260	182	515
261	182	515
262	183	514
263	184	513
264	185	513
265	185	512
266	186	511
267	187	511
268	187	510
269	188	509
270	189	508
271	189	508
272	190	507
273	191	507
274	192	506
275	192	505
276	193	504
277	193	503
278	194	503
279	195	502
280	195	501
281	196	500
282	197	499
283	197	499
284	198	498
285	199	497
286	199	496
287	200	495
288	201	495
289	201	494
290	202	494
291	203	493
292	204	492
293	204	492
294	205	491
295	206	490
296	206	489
297	207	488
298	208	487
299	208	486
300	209	486
301	210	485
302	210	484
303	211	484
304	212	483
305	212	482
306	213	481
307	213	480
308	214	479
309	215	478
310	215	478
311	216	477
312	217	477
313	218	476
314	218	475
315	219	474
316	219	473
317	220	473
318	221	472
319	221	471
320	222	470
321	223	469
322	223	469
323	224	468
324	225	467
325	225	466
326	226	466
327	227	465
328	227	464
329	228	463
330	229	462
331	229	462
332	230	461
333	231	460
334	231	459
335	232	458
336	232	458
337	233	457
338	234	457
339	235	456
340	235	455
341	236	454
342	237	454
343	238	453
344	238	453
345	239	452
346	240	451
347	240	450
348	241	450
349	241	449
350	242	448
351	243	447
352	243	447
353	244	446
354	245	445
355	245	444
356	246	443
357	247	443
358	247	442
359	248	441
360	249	440
361	249	440
362	250	439
363	251	438
364	251	437
365	252	437
366	253	437
367	254	436
368	254	435
369	255	434
370	256	434
371	256	433
372	257	432
373	258	431
374	258	431
375	259	430
376	260	430
377	261	429
378	262	429
379	262	428
380	263	427
381	264	427
382	264	426
383	265	425
384	266	425
385	266	424
386	267	423
387	268	423
388	269	422
389	269	422
390	270	421
391	271	420
392	272	420
393	272	419
394	273	418
395	274	417
396	274	417
397	275	416
398	275	415
399	276	414
400	276	413
401	277	412
402	278	412
403	278	411
404	279	410
405	280	409
406	280	408
407	281	407
408	281	407
409	282	406
410	282	405
411	283	404
412	283	403
413	284	402
414	285	402
415	285	401
416	286	400
417	286	399
418	287	398
419	288	397
420	288	396
421	289	396
422	290	395
423	290	394
424	291	394
425	292	393
426	292	392
427	293	392
428	293	391
429	294	390
430	295	389
431	295	388
432	296	387
433	296	387
434	297	386
435	298	385
436	298	384
437	299	384
438	300	383
439	300	382
440	301	381
441	302	381
442	302	380
443	303	379
444	304	379
445	304	378
446	305	377
447	306	377
448	306	376
449	307	375
450	308	375
451	308	374
452	309	373
453	310	372
454	310	372
455	311	371
456	312	370
457	312	370
458	313	369
459	313	368
460	314	367
461	315	366
462	315	366
463	316	365
464	317	364
465	317	363
466	318	363
467	318	362
468	319	361
469	319	360
470	320	359
471	321	359
472	321	358
473	322	357
474	322	356
475	323	356
476	324	355
477	324	354
478	325	353
479	325	353
480	326	352
481	327	351
482	327	350
483	328	350
484	329	349
485	330	349
486	330	348
487	331	347
488	331	346
489	332	345
490	332	344
491	333	344
492	333	343
493	334	342
494	335	342
495	336	341
496	336	341
497	337	340
498	338	339
499	338	338
500	339	337
501	339	337
502	340	336
503	341	335
504	341	334
505	342	334
506	342	333
507	343	332
508	344	331
509	344	331
510	345	330
511	345	329
512	346	329
513	347	328
514	348	327
515	348	327
516	349	326
517	349	325
518	350	325
519	351	324
520	351	323
521	352	322
522	353	322
523	353	321
524	354	320
525	354	319
526	355	319
527	356	318
528	356	317
529	357	316
530	358	316
531	358	315
532	359	314
533	359	314
534	360	313
535	361	312
536	362	312
537	362	311
538	363	310
539	364	310
540	364	309
541	365	308
542	365	307
543	366	307
544	367	306
545	367	305
546	368	305
547	369	304
548	369	303
549	370	302
550	370	302
551	371	301
552	371	300
553	372	299
554	373	299
555	374	298
556	374	297
557	375	297
558	375	296
559	376	295
560	376	294
561	377	294
562	377	293
563	378	292
564	379	291
565	379	291
566	380	290
567	381	289
568	381	289
569	382	288
570	382	287
571	383	287
572	384	286
573	384	285
574	385	285
575	386	284
576	387	283
577	387	283
578	388	282
579	388	281
580	389	280
581	389	280
582	390	279
583	391	278
584	391	277
585	392	277
586	392	276
587	393	275
588	394	275
589	394	274
590	395	273
591	396	272
592	396	272
593	397	271
594	397	270
595	398	270
596	399	269
597	399	268
598	400	268
599	400	267
600	401	266
601	402	265
602	402	265
603	403	264
604	403	263
605	404	262
606	404	262
607	405	261
608	406	260
609	406	260
610	407	259
611	408	259
612	409	258
613	410	257
614	411	257
615	411	256
616	412	256
617	413	255
618	413	254
619	414	254
620	415	253
621	416	252
622	416	252
623	417	251
624	418	250
625	418	250
626	419	249
627	420	248
628	421	248
629	421	247
630	422	247
631	423	246
632	423	245
633	424	245
634	425	244
635	426	243
636	426	243
637	427	242
638	427	241
639	428	241
640	429	240
641	429	239
642	430	238
643	430	238
644	431	237
645	432	236
646	432	236
647	433	235
648	433	234
649	434	233
650	435	233
651	435	232
652	436	231
653	437	231
654	437	230
655	438	229
656	439	229
657	439	228
658	440	227
659	440	227
660	441	226
661	441	225
662	442	224
663	443	224
664	444	223
665	444	222
666	445	222
667	445	221
668	446	220
669	446	220
670	447	219
671	448	218
672	448	217
673	449	217
674	450	216
675	450	216
676	451	215
677	452	214
678	452	214
679	453	213
680	454	212
681	454	212
682	455	211
683	456	210
684	456	209
685	457	209
686	457	208
687	458	207
688	459	207
689	459	206
690	460	205
691	460	205
692	461	204
693	462	203
694	462	203
695	463	202
696	463	201
697	464	200
698	464	200
699	465	199
700	466	198
701	466	198
702	467	197
703	468	196
704	468	196
705	469	195
706	469	194
707	470	194
708	470	193
709	471	192
710	472	191
711	472	191
712	473	190
713	474	190
714	475	189
715	476	188
716	476	188
717	477	187
718	478	186
719	478	186
720	479	185
721	480	184
722	480	184
723	481	183
724	482	183
725	483	182
726	483	181
727	484	181
728	485	180
729	485	179
730	486	178
731	487	178
732	487	177
733	488	176
734	488	176
735	489	175
736	490	174
737	490	174
738	491	173
739	491	172
740	492	172
741	493	171
742	493	170
743	494	170
744	495	169
745	495	168
746	496	168
747	496	167
748	497	166
749	498	166
750	498	165
751	499	164
752	499	164
753	500	163
754	501	162
755	501	161
756	502	161
757	502	160
758	503	159
759	504	159
760	504	158
761	505	157
762	505	157
763	506	156
764	507	155
765	507	155
766	508	154
767	508	153
768	509	153
769	510	152
770	510	151
771	511	150
772	511	150
773	512	149
774	513	148
775	513	148
776	514	147
777	514	146
778	515	146
779	516	145
780	517	144
781	517	144
782	518	143
783	518	142
784	519	142
785	520	141
786	520	140
787	521	140
788	521	139
789	522	138
790	522	138
791	523	137
792	524	136
793	524	136
794	525	135
795	525	134
796	526	134
797	527	133
798	527	132
799	528	132
800	528	131
801	529	130
802	530	130
803	530	129
804	531	128
805	532	128
806	532	127
807	533	126
808	533	126
809	534	125
810	534	124
811	535	123
812	535	123
813	536	122
814	537	121
815	537	121
816	538	120
817	538	119
818	539	119
819	539	118
820	540	117
821	541	117
822	541	116
823	542	115
824	542	115
825	543	114
826	544	113
827	544	113
828	545	112
829	545	111
830	546	111
831	547	110
832	547	109
833	548	109
834	549	108
835	549	107
836	550	107
837	551	106
838	551	105
839	552	105
840	552	104
841	553	103
842	554	103
843	554	102
844	555	101
845	555	101
846	556	100
847	556	99
848	557	99
849	558	98
850	558	97
851	559	97
852	559	96
853	560	95
854	560	95
855	561	94
856	561	93
857	562	93
858	563	92
859	563	91
860	564	91
861	564	90
862	565	89
863	566	89
864	566	88
865	567	87
866	567	87
867	568	86
868	569	85
869	569	85
870	570	84
871	570	83
872	571	83
873	572	82
874	572	81
875	573	81
876	573	80
877	574	79
878	574	79
879	575	78
880	576	77
881	576	77
882	577	76
883	577	75
884	578	75
885	578	74
886	579	73
887	579	73
888	580	72
889	581	71
890	581	71
891	582	70
892	582	69
893	583	69
894	583	68
895	584	67
896	584	67
897	585	66
898	585	65
899	586	65
900	587	64
901	587	63
902	588	63
903	588	62
904	589	61
905	589	61
906	590	60
907	591	59
908	591	59
909	592	58
910	592	57
911	593	57
912	593	56
913	594	55
914	595	55
915	595	54
916	596	53
917	596	53
918	597	52
919	597	51
920	598	51
921	598	50
922	599	50
923	599	49
924	600	48
925	601	48
926	601	47
927	602	46
928	602	46
929	603	45
930	603	44
931	604	44
932	604	43
933	605	42
934	605	42
935	606	41
936	607	40
937	607	40
938	608	39
939	608	38
940	609	38
941	609	37
942	610	36
943	610	36
944	611	35
945	611	34
946	612	34
947	612	33
948	613	32
949	614	32
950	614	31
951	615	31
952	615	30
953	616	29
954	616	29
955	617	28
956	617	27
957	618	27
958	619	26
959	619	25
960	620	25
961	620	24
962	621	23
963	621	23
964	622	22
965	622	21
966	623	21
967	623	20
968	624	19
969	624	19
970	625	18
971	626	18
972	626	17
973	627	16
974	627	16
975	628	15
976	628	14
977	629	14
978	629	13
979	630	12
980	630	12
981	631	11
982	632	10
983	632	10
984	633	9
985	633	8
986	634	8
987	634	7
988	635	7
989	635	6
990	636	5
991	636	5
992	637	4
993	637	3
994	638	3
995	639	2
996	639	1
997	640	1
998	640	0
999	641	0
